loss,mae,epoch
0.02215358428657055,0.10444770753383636,1
0.0025221542455255985,0.035921886563301086,2
0.0008028790471144021,0.02020777389407158,3
0.00042743340600281954,0.015119438990950584,4
0.00026818981859833,0.011873148381710052,5
0.00018407941388431937,0.009678669273853302,6
0.0001361375761916861,0.008172311820089817,7
0.00010856767767108977,0.007295090705156326,8
9.093674452742562e-05,0.006700254511088133,9
7.932840526336804e-05,0.006284086499363184,10
6.888476491440088e-05,0.005906322039663792,11
6.165460217744112e-05,0.005637990310788155,12
5.508014146471396e-05,0.0053656138479709625,13
5.133776357979514e-05,0.005213341675698757,14
4.7107681893976405e-05,0.005049810744822025,15
4.294705286156386e-05,0.004847787320613861,16
3.955839201807976e-05,0.004684721119701862,17
3.577909592422657e-05,0.0044858381152153015,18
3.3364980481565e-05,0.004339882172644138,19
3.0730414437130094e-05,0.004156738054007292,20
2.9236758564366028e-05,0.00407370226457715,21
2.817302811308764e-05,0.004014967940747738,22
2.7032367142965086e-05,0.0039439210668206215,23
2.588385541457683e-05,0.003877607872709632,24
2.5149740395136178e-05,0.0038256377447396517,25
2.4216369638452306e-05,0.003764144843444228,26
2.3544951545773074e-05,0.0037034463603049517,27
2.277833664265927e-05,0.0036644323263317347,28
2.2322123186313547e-05,0.0036342660896480083,29
2.1424424630822614e-05,0.0035443466622382402,30
2.1146495782886632e-05,0.0035340723115950823,31
2.1241901777102612e-05,0.0035199031699448824,32
2.070250775432214e-05,0.0034778807312250137,33
2.028518974839244e-05,0.003428074764087796,34
2.0736619262606837e-05,0.0034792085643857718,35
2.010729986068327e-05,0.0034365218598395586,36
2.1027472030255012e-05,0.003550187684595585,37
2.1794774511363357e-05,0.0035352110862731934,38
2.1009873307775706e-05,0.003523038700222969,39
2.1790212485939264e-05,0.0036034993827342987,40
2.4124368792399764e-05,0.0037306961603462696,41
2.315710844413843e-05,0.0036990544758737087,42
2.220722490164917e-05,0.0035997945815324783,43
2.242144910269417e-05,0.0036025498993694782,44
2.7244903321843594e-05,0.003925046417862177,45
2.794718420773279e-05,0.0039681727066636086,46
2.60220404015854e-05,0.003914725501090288,47
2.9429502319544554e-05,0.004128454253077507,48
4.601961336447857e-05,0.005171481054276228,49
3.955239662900567e-05,0.004733406472951174,50
