plan_id,plan_date,item_id,item_name,current_on_hand,net_available_inventory,stockout_risk_class,stockout_risk_probability,recommended_action,recommended_order_qty,recommended_order_multiple,expected_arrival_date,projected_days_of_supply,expected_holding_cost,expected_stockout_penalty,expected_total_cost,algorithm_used,reason_code,explanation,constraint_flags,approval_status,review_notes
216,2026-03-08,6060,LST20-SRK-1,54,454.0,Low,3.3234354080059876e-06,REORDER,1000,1,2026-07-06,999.0,500.0,0.0,500.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (454.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 1000 units.",MOQ_APPLIED; HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
217,2026-03-08,6062,23511,626,5121.0,Low,5.3482313712946147e-79,WAIT,0,0,,5121.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
218,2026-03-08,6063,70078-H1,0,0.0,Low,3.2770019659521374e-06,REORDER,500,1,2026-07-06,999.0,375.0,0.0,375.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (0.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 500 units.",MOQ_APPLIED,Pending,
219,2026-03-08,6081,R2PF,0,0.0,Low,3.2770019659521374e-06,REORDER,500,1,2026-07-06,999.0,375.0,0.0,375.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (0.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 500 units.",MOQ_APPLIED,Pending,
220,2026-03-08,6082,SN-HK-1,327,927.0,Low,3.690318674132994e-05,REORDER,1000,1,2026-07-06,1605.8333333333335,20.0,0.0,20.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (927.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 1000 units.",MOQ_APPLIED; HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
221,2026-03-08,6084,615-16S,0,1000.0,Low,3.385318101034715e-06,WAIT,0,0,,999.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",OPEN_PO_EXISTS,Pending,
222,2026-03-08,6087,DT-LHK-1,11,61.0,Low,3.2835681089560653e-06,REORDER,1000,1,2026-07-06,999.0,500.0,0.0,500.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (61.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 1000 units.",MOQ_APPLIED; HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
223,2026-03-08,6088,DT-HK-1,49,99.0,Low,3.2850259684276094e-06,REORDER,1000,1,2026-07-06,999.0,500.0,0.0,500.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (99.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 1000 units.",MOQ_APPLIED; HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
224,2026-03-08,6089,DT-GC-1,0,50.0,Low,3.2825638951641585e-06,REORDER,1000,1,2026-07-06,999.0,500.0,0.0,500.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (50.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 1000 units.",MOQ_APPLIED; HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
225,2026-03-08,6090,DT-UHK-1,2,52.0,Low,3.282765902823998e-06,REORDER,1000,1,2026-07-06,999.0,500.0,0.0,500.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (52.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 1000 units.",MOQ_APPLIED; HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
226,2026-03-08,6091,RM8-HK-1,7,17.0,Low,3.278785243088039e-06,REORDER,1000,1,2026-07-06,999.0,500.0,0.0,500.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (17.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 1000 units.",MOQ_APPLIED; HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
227,2026-03-08,6092,RM8-UHP-1,7,17.0,Low,3.278785243088039e-06,REORDER,1000,1,2026-07-06,999.0,500.0,0.0,500.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (17.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 1000 units.",MOQ_APPLIED; HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
228,2026-03-08,6106,Radius Header,0,0.0,Low,3.2770019659521374e-06,REORDER,500,1,2026-07-06,999.0,375.0,0.0,375.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (0.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 500 units.",MOQ_APPLIED,Pending,
229,2026-03-08,6113,RB80514,25,419.0,Low,0.0005673464130299761,WAIT,0,0,,325.88888888888886,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
230,2026-03-08,6115,RA-004,169,4601.0,Low,1.6938549389306985e-63,WAIT,0,0,,4575.994565217391,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
231,2026-03-08,6117,23711,968,6379.0,Low,2.11980576941371e-110,WAIT,0,0,,6075.238095238095,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
232,2026-03-08,6118,23811,78,2727.0,Low,2.5461773252497453e-24,WAIT,0,0,,2727.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
233,2026-03-08,6120,90411,6,1741.0,Low,1.5200354875758159e-05,WAIT,0,0,,870.5,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
234,2026-03-08,6121,RS95915,0,500.0,Low,3.331944937280189e-06,REORDER,1000,1,2026-07-06,999.0,500.0,0.0,500.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (500.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 1000 units.",MOQ_APPLIED; HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
235,2026-03-08,6123,SN71012,38,14038.0,Low,0.0,WAIT,0,0,,12478.222222222223,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
236,2026-03-08,6128,23411,203,2801.0,Low,6.660580849102297e-22,WAIT,0,0,,2567.5833333333335,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
237,2026-03-08,6133,50002,1935,29314.0,Low,0.0,WAIT,0,0,,28412.030769230765,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
238,2026-03-08,6134,SN70112,41,14548.0,Low,0.00034893747061575823,WAIT,0,0,,440.57034700315455,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
239,2026-03-08,6142,70024,1,161.0,Low,3.2948500085885514e-06,REORDER,500,1,2026-07-06,999.0,375.0,0.0,375.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (161.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 500 units.",MOQ_APPLIED; OPEN_PO_EXISTS,Pending,
240,2026-03-08,6152,TC70025S,123,923.0,Low,3.3599611686465087e-06,WAIT,0,0,,999.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",OPEN_PO_EXISTS,Pending,
241,2026-03-08,6156,1415-16CR,0,41153.0,High,1.0,EXPEDITE,48000,96,2026-07-06,121.99741523490952,72000.0,0.0,72000.0,Naive Bayes + Rule-Based Planning,HIGH_RISK_LATE_INBOUND,"Expedite recommended because stockout risk is High (1.00), net available inventory is below lead-time demand, and existing inbound supply arrives too late.",MOQ_APPLIED; HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
242,2026-03-08,6163,LSTM2012-4,3,3731.0,Low,3.6446973078649817e-06,WAIT,0,0,,999.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
243,2026-03-08,6167,23111,0,9884.0,Low,3.971600111301495e-06,WAIT,0,0,,999.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
244,2026-03-08,6170,90211,0,1000.0,Low,3.385318101034715e-06,WAIT,0,0,,999.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",OPEN_PO_EXISTS,Pending,
