item_id,Date,Quantity
352,10/31/2016 0:00,3
310,10/31/2016 0:00,15
505,10/31/2016 0:00,1
1141,10/31/2016 0:00,1
306,10/31/2016 0:00,1
1138,11/1/2016 0:00,1
765,11/1/2016 0:00,1
765,11/1/2016 0:00,4
1147,11/1/2016 0:00,1
678,11/1/2016 0:00,1
1143,11/1/2016 0:00,1
1138,11/1/2016 0:00,1
680,11/1/2016 0:00,1
1145,11/1/2016 0:00,1
607,11/1/2016 0:00,1
623,11/1/2016 0:00,1
1138,11/1/2016 0:00,1
1132,11/1/2016 0:00,2
504,11/1/2016 0:00,1
619,11/1/2016 0:00,1
1143,11/1/2016 0:00,1
649,11/1/2016 0:00,1
1838,11/1/2016 0:00,1
1106,11/1/2016 0:00,1
1106,11/1/2016 0:00,1
317,11/1/2016 0:00,1
1106,11/1/2016 0:00,1
1106,11/1/2016 0:00,1
1106,11/1/2016 0:00,1
1106,11/1/2016 0:00,1
1141,11/1/2016 0:00,1
1106,11/1/2016 0:00,1
622,11/1/2016 0:00,1
1106,11/1/2016 0:00,1
1106,11/1/2016 0:00,2
401,11/1/2016 0:00,1
349,11/1/2016 0:00,1
375,11/1/2016 0:00,1
1141,11/1/2016 0:00,1
1141,11/1/2016 0:00,1
505,11/1/2016 0:00,1
1144,11/1/2016 0:00,1
907,11/1/2016 0:00,1
1138,11/1/2016 0:00,1
674,11/1/2016 0:00,1
765,11/1/2016 0:00,2
317,11/2/2016 0:00,1
331,11/2/2016 0:00,1
303,11/2/2016 0:00,1
303,11/2/2016 0:00,1
306,11/2/2016 0:00,1
1106,11/2/2016 0:00,1
1106,11/2/2016 0:00,1
306,11/2/2016 0:00,1
84,11/2/2016 0:00,1
303,11/2/2016 0:00,1
1106,11/2/2016 0:00,1
1106,11/2/2016 0:00,2
306,11/2/2016 0:00,1
306,11/2/2016 0:00,1
306,11/2/2016 0:00,1
375,11/2/2016 0:00,1
322,11/2/2016 0:00,1
185,11/2/2016 0:00,5
1838,11/2/2016 0:00,1
1591,11/2/2016 0:00,1
84,11/2/2016 0:00,1
84,11/2/2016 0:00,1
84,11/2/2016 0:00,1
299,11/2/2016 0:00,1
382,11/2/2016 0:00,1
327,11/2/2016 0:00,1
303,11/2/2016 0:00,1
310,11/2/2016 0:00,1
84,11/2/2016 0:00,1
375,11/2/2016 0:00,1
1995,11/2/2016 0:00,1
1138,11/2/2016 0:00,2
1138,11/2/2016 0:00,1
702,11/2/2016 0:00,1
303,11/2/2016 0:00,1
84,11/2/2016 0:00,1
375,11/2/2016 0:00,1
303,11/2/2016 0:00,15
375,11/2/2016 0:00,1
84,11/2/2016 0:00,1
303,11/2/2016 0:00,1
303,11/2/2016 0:00,1
382,11/2/2016 0:00,1
1138,11/2/2016 0:00,1
1997,11/2/2016 0:00,1
1138,11/2/2016 0:00,4
607,11/2/2016 0:00,2
310,11/2/2016 0:00,1
310,11/2/2016 0:00,1
310,11/2/2016 0:00,1
310,11/2/2016 0:00,1
310,11/2/2016 0:00,1
310,11/2/2016 0:00,1
310,11/2/2016 0:00,1
310,11/2/2016 0:00,1
306,11/2/2016 0:00,1
1138,11/2/2016 0:00,1
310,11/2/2016 0:00,1
310,11/2/2016 0:00,1
84,11/2/2016 0:00,1
310,11/2/2016 0:00,1
306,11/2/2016 0:00,1
310,11/2/2016 0:00,1
310,11/2/2016 0:00,1
310,11/2/2016 0:00,1
306,11/2/2016 0:00,1
310,11/2/2016 0:00,1
310,11/2/2016 0:00,1
306,11/2/2016 0:00,1
306,11/2/2016 0:00,1
85,11/2/2016 0:00,1
1147,11/2/2016 0:00,1
1996,11/2/2016 0:00,1
327,11/2/2016 0:00,1
382,11/2/2016 0:00,1
310,11/2/2016 0:00,1
1989,11/2/2016 0:00,1
380,11/2/2016 0:00,1
317,11/2/2016 0:00,20
350,11/2/2016 0:00,1
307,11/2/2016 0:00,1
1138,11/3/2016 0:00,1
1992,11/3/2016 0:00,2
310,11/3/2016 0:00,1
1986,11/3/2016 0:00,1
822,11/3/2016 0:00,2
1138,11/3/2016 0:00,1
765,11/3/2016 0:00,5
1260,11/3/2016 0:00,1
1106,11/3/2016 0:00,2
310,11/3/2016 0:00,1
310,11/3/2016 0:00,1
85,11/3/2016 0:00,1
310,11/3/2016 0:00,1
85,11/3/2016 0:00,1
310,11/3/2016 0:00,1
310,11/3/2016 0:00,1
310,11/3/2016 0:00,1
375,11/3/2016 0:00,1
375,11/3/2016 0:00,1
303,11/3/2016 0:00,1
84,11/3/2016 0:00,1
765,11/3/2016 0:00,2
626,11/3/2016 0:00,1
1145,11/3/2016 0:00,1
1143,11/3/2016 0:00,1
1144,11/3/2016 0:00,1
2007,11/3/2016 0:00,1
1138,11/3/2016 0:00,1
1986,11/3/2016 0:00,1
313,11/3/2016 0:00,1
401,11/3/2016 0:00,1
401,11/3/2016 0:00,1
310,11/3/2016 0:00,1
310,11/3/2016 0:00,1
310,11/3/2016 0:00,1
88,11/3/2016 0:00,54
303,11/3/2016 0:00,1
1106,11/3/2016 0:00,2
303,11/3/2016 0:00,1
303,11/3/2016 0:00,1
303,11/3/2016 0:00,1
505,11/3/2016 0:00,10
1161,11/3/2016 0:00,1
1106,11/3/2016 0:00,2
1106,11/3/2016 0:00,1
2008,11/3/2016 0:00,1
775,11/3/2016 0:00,1
1106,11/3/2016 0:00,1
401,11/3/2016 0:00,30
382,11/3/2016 0:00,1
306,11/4/2016 0:00,1
306,11/4/2016 0:00,1
313,11/4/2016 0:00,1
313,11/4/2016 0:00,2
306,11/4/2016 0:00,1
306,11/4/2016 0:00,1
306,11/4/2016 0:00,1
306,11/4/2016 0:00,1
306,11/4/2016 0:00,1
1142,11/4/2016 0:00,19
375,11/4/2016 0:00,24
306,11/4/2016 0:00,1
84,11/4/2016 0:00,1
306,11/4/2016 0:00,1
306,11/4/2016 0:00,1
331,11/4/2016 0:00,1
327,11/4/2016 0:00,1
1139,11/4/2016 0:00,4
313,11/4/2016 0:00,1
313,11/4/2016 0:00,3
313,11/4/2016 0:00,2
401,11/4/2016 0:00,1
292,11/4/2016 0:00,1
327,11/4/2016 0:00,1
1838,11/4/2016 0:00,1
1145,11/4/2016 0:00,1
2020,11/4/2016 0:00,1
1132,11/4/2016 0:00,1
1143,11/4/2016 0:00,1
2027,11/4/2016 0:00,1
1138,11/4/2016 0:00,1
1138,11/4/2016 0:00,1
1138,11/4/2016 0:00,1
1143,11/4/2016 0:00,1
623,11/4/2016 0:00,1
1106,11/4/2016 0:00,1
401,11/4/2016 0:00,1
1161,11/4/2016 0:00,1
1106,11/4/2016 0:00,1
1106,11/4/2016 0:00,1
1106,11/4/2016 0:00,1
1141,11/4/2016 0:00,1
310,11/4/2016 0:00,1
310,11/4/2016 0:00,1
310,11/4/2016 0:00,1
310,11/4/2016 0:00,1
310,11/4/2016 0:00,1
310,11/4/2016 0:00,1
310,11/4/2016 0:00,1
310,11/4/2016 0:00,1
85,11/4/2016 0:00,1
310,11/4/2016 0:00,1
310,11/4/2016 0:00,1
310,11/4/2016 0:00,1
303,11/4/2016 0:00,1
306,11/4/2016 0:00,1
377,11/4/2016 0:00,1
623,11/4/2016 0:00,1
1147,11/4/2016 0:00,1
2036,11/4/2016 0:00,1
375,11/4/2016 0:00,6
375,11/4/2016 0:00,7
1107,11/4/2016 0:00,1
313,11/4/2016 0:00,1
294,11/4/2016 0:00,1
366,11/5/2016 0:00,1162
366,11/5/2016 0:00,1162
317,11/5/2016 0:00,300
825,11/7/2016 0:00,1
2033,11/7/2016 0:00,1
607,11/7/2016 0:00,1
1153,11/7/2016 0:00,1
1138,11/7/2016 0:00,1
2027,11/7/2016 0:00,2
1153,11/7/2016 0:00,2
505,11/7/2016 0:00,6
2032,11/7/2016 0:00,4
1143,11/7/2016 0:00,1
2027,11/7/2016 0:00,2
1134,11/7/2016 0:00,1
2029,11/7/2016 0:00,2
2044,11/7/2016 0:00,1
2027,11/7/2016 0:00,1
2030,11/7/2016 0:00,1
1147,11/7/2016 0:00,2
1144,11/7/2016 0:00,1
2027,11/7/2016 0:00,1
392,11/7/2016 0:00,1
322,11/7/2016 0:00,1
313,11/7/2016 0:00,1
303,11/7/2016 0:00,1
303,11/7/2016 0:00,1
306,11/7/2016 0:00,1
306,11/7/2016 0:00,1
84,11/7/2016 0:00,1
334,11/7/2016 0:00,1
294,11/7/2016 0:00,1
84,11/7/2016 0:00,1
310,11/7/2016 0:00,1
306,11/7/2016 0:00,1
1106,11/7/2016 0:00,1
1141,11/7/2016 0:00,1
1106,11/7/2016 0:00,1
1106,11/7/2016 0:00,1
2038,11/7/2016 0:00,1
2027,11/7/2016 0:00,2
700,11/7/2016 0:00,1
382,11/7/2016 0:00,1
292,11/7/2016 0:00,1
306,11/7/2016 0:00,1
292,11/7/2016 0:00,1
292,11/7/2016 0:00,1
292,11/7/2016 0:00,1
505,11/8/2016 0:00,1
1142,11/8/2016 0:00,1
1144,11/8/2016 0:00,1
702,11/8/2016 0:00,1
668,11/8/2016 0:00,1
2028,11/8/2016 0:00,1
2068,11/8/2016 0:00,1
2028,11/8/2016 0:00,1
2040,11/8/2016 0:00,1
2041,11/8/2016 0:00,1
2042,11/8/2016 0:00,1
2068,11/8/2016 0:00,1
622,11/8/2016 0:00,1
2043,11/8/2016 0:00,1
621,11/8/2016 0:00,1
1138,11/8/2016 0:00,2
310,11/8/2016 0:00,1
310,11/8/2016 0:00,1
349,11/8/2016 0:00,1
380,11/8/2016 0:00,1
306,11/8/2016 0:00,1
306,11/8/2016 0:00,1
1141,11/8/2016 0:00,1
1141,11/8/2016 0:00,1
85,11/8/2016 0:00,1
375,11/8/2016 0:00,1
306,11/8/2016 0:00,1
2062,11/8/2016 0:00,1
623,11/8/2016 0:00,1
2027,11/8/2016 0:00,1
696,11/8/2016 0:00,1
784,11/8/2016 0:00,1
623,11/8/2016 0:00,1
1603,11/8/2016 0:00,1
84,11/8/2016 0:00,1
373,11/8/2016 0:00,2
1106,11/8/2016 0:00,1
1163,11/8/2016 0:00,1
1106,11/8/2016 0:00,1
1106,11/8/2016 0:00,1
1106,11/8/2016 0:00,1
1106,11/8/2016 0:00,1
1106,11/8/2016 0:00,2
1106,11/8/2016 0:00,1
1106,11/8/2016 0:00,1
1879,11/8/2016 0:00,2
2063,11/8/2016 0:00,1
2068,11/8/2016 0:00,1
2027,11/8/2016 0:00,2
337,11/8/2016 0:00,1
1138,11/8/2016 0:00,1
1138,11/8/2016 0:00,1
784,11/8/2016 0:00,3
623,11/8/2016 0:00,1
702,11/8/2016 0:00,1
2062,11/8/2016 0:00,1
2064,11/8/2016 0:00,2
1138,11/8/2016 0:00,1
778,11/8/2016 0:00,2
1104,11/8/2016 0:00,1
626,11/8/2016 0:00,2
340,11/8/2016 0:00,100
319,11/8/2016 0:00,20
319,11/8/2016 0:00,48
319,11/8/2016 0:00,24
1138,11/9/2016 0:00,1
2060,11/9/2016 0:00,1
2007,11/9/2016 0:00,1
2070,11/9/2016 0:00,1
2070,11/9/2016 0:00,1
2062,11/9/2016 0:00,1
607,11/9/2016 0:00,1
504,11/9/2016 0:00,1
655,11/9/2016 0:00,2
619,11/9/2016 0:00,1
2059,11/9/2016 0:00,1
2068,11/9/2016 0:00,1
2075,11/9/2016 0:00,1
778,11/9/2016 0:00,1
1104,11/9/2016 0:00,1
2044,11/9/2016 0:00,1
2075,11/9/2016 0:00,1
2079,11/9/2016 0:00,2
1138,11/9/2016 0:00,1
1138,11/9/2016 0:00,1
2056,11/9/2016 0:00,1
2052,11/9/2016 0:00,1
2049,11/9/2016 0:00,1
1114,11/9/2016 0:00,1
1138,11/9/2016 0:00,4
2077,11/9/2016 0:00,1
1134,11/9/2016 0:00,1
623,11/9/2016 0:00,1
1138,11/9/2016 0:00,1
772,11/9/2016 0:00,2
2041,11/9/2016 0:00,1
775,11/9/2016 0:00,1
1147,11/9/2016 0:00,1
685,11/9/2016 0:00,1
667,11/9/2016 0:00,2
2075,11/9/2016 0:00,1
2087,11/9/2016 0:00,2
771,11/9/2016 0:00,1
1144,11/9/2016 0:00,1
306,11/9/2016 0:00,1
306,11/9/2016 0:00,1
302,11/9/2016 0:00,1
303,11/9/2016 0:00,1
